review_text,timestamp_created,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count
Pet the Dog after every run!!!,1649948828,True,0,0,0,0
Give the good boi Cerberus some snack please.,1649946551,True,0,0,0,0
"10/10 This game has it all! A rougue like game with story, music, gameplay and more that make its replayability out of this world. Not to mention the character design, voice acting and more. I can't recommend this game highly enough!!!",1649944930,True,0,0,0,0
hard and perfect,1649940928,True,0,0,0,0
good,1649940050,True,0,0,0,0
"Presentation 8.5/10	
Graphics 8/10
Soundtrack 7/10	
Gameplay 9/10	
Subjective Comment:It's easy to forget the soundtrack but it has its own style.For roguelike game,Hades is worthing playing.You are able to choose and shuffle the buff from Olympians.It made Hades various and playable.You will get a free Counter-Strike:Global Offensive music kit by the way if you own Hades.",1649939392,True,0,0,0,0
super addictive,1649937160,True,0,0,0,0
"So, I actually have a lot more play time in Hades than shown on Steam, because I originally bought it on Switch. It's a better experience on Steam because Xbox One controller > Joy-Cons. I bought it on sale on Steam to support these game makers even further, because they made a bonafide masterpiece when they made Hades.

This isn't going to be a very detailed review. Hades looks fantastic, sounds even better, and plays with the energy of an isometric DOOM game. You play as Zagreus, son of Hades, whose goal is to escape the Underworld, uncovering mysteries, meeting distinct, well-defined characters, and tearing up the scenery along the way. The game unfolds in such an elegant, natural way. The house of Hades seems to expand every time you ""die"" and return home, there's an ever-expanding codex to learn more info about the game's characters, enemies, and items, and the feeling of progression just seems to continue for a huge length of time, well past what I would expect. That strengthens the feeling that the game just doesn't get old or stop being fun.

My GOTY for 2020. Hugely recommended",1649936850,True,0,0,0,0
everything all in all deserved game of the year,1649926695,True,0,0,0,0
honestly quite incredible,1649922854,True,0,0,0,0
Rating 5 / 5 ☆☆☆☆☆,1649919909,True,0,0,0,0
"65 hours in, every run still feels different than the last. I ""beat the game"" hours ago but the story continues. Did I even really beat it? I don't know anymore. I don't care. Buy the game.",1649917428,True,0,0,0,0
AMAZING!,1649915245,True,0,0,0,0
The never ending dialogue is addictive.,1649913320,True,0,0,0,0
"Cannot recommend more! This is my first roguelike game and I love it! The story, the art, the voice acting, it's all so good. I played it for about ten minutes on a friend's console before I had to buy it for myself. Worth every penny!",1649911304,True,0,0,0,0
"A beautiful game that mixes masterful artistry, music, combat, controls, and writing. You are always progressing, whether you succeed or fail. You are always building towards something.",1649911142,True,0,0,0,0
good game,1649908386,True,0,0,0,0
YOU CAN PET THE DOG,1649905333,True,0,0,0,0
cerberus,1649902180,True,0,0,0,0
Game good. Trust me :),1649897580,True,0,0,0,0
Its pretty decent I guess,1649894506,True,0,0,0,0
"very good story, characters, and gameplay",1649892776,True,0,0,0,0
"I love this game 
(IM GREEK NIGGA!SHOW ME YOUR BUTTHOLE!!!)",1649892535,True,0,0,0.474452555179595947,0
Why does the bosses and their moves change when you haven't yet beaten the game? That sucks a bit.,1649890744,False,0,0,0.436507940292358398,0
hades nuts,1649887321,True,1,0,0.444444417953491211,0
"Loved it!
The story is great, the characters are amazing and the art is just gorgeous!
The gameplay is also pretty fun if you like roguelikes.
Definitely wort a try!

And it gets a bonus point for the queer dating option and making me question my gender identity.",1649886955,True,0,0,0,0
"came looking for CS:GO music kit
and stay to slay Zagreus father",1649886244,True,0,0,0,0
Медуза самая лучшая вайфу,1649883907,True,0,0,0,0
"DOOM-esk 3rd person game with beautifull graphics and story.
9.5/10, Very good game.",1649880359,True,0,0,0,0
i waited too long to try this game out. obsessed,1649880284,True,0,0,0,0
im a s1ut for roguelikes and the characters made me horny,1649875894,True,1,0,0.523809552192687988,0
"Fun gameplay, a lot of fun content, beautiful sound design, majestic scenery and character design. 10/10 for an indie(?) game.",1649870855,True,1,0,0.523809552192687988,0
"This game is phenomenally written, and is a wonder to play, 11/10.",1649869393,True,1,0,0,0
good game,1649867221,True,0,0,0,0
"Great game. But it requires hundreds of hours of grind, which is I guess not for everyone and certainly not for me. I really enjoyed it, but I just don't have that much time and most of the content will stay inaccessible for me :/",1649862771,True,1,0,0.523809552192687988,0
es iste goort,1649861209,True,0,0,0,0
yes,1649860537,True,0,0,0,0
yep,1649856818,True,0,0,0,0
fun,1649856705,True,0,0,0,0
"One of the best games out there. Other than beating the enemies, it has interesting conversations with the NPCs and a side story.",1649846814,True,1,0,0.523809552192687988,0
"Played over 100 hours on the pirated version, felt bad not buying it. This game worth every single cent.",1649846083,True,0,1,0,0
10/10,1649841722,True,0,0,0,0
"I'm disappointed in this community... only 37,7% people have pet the good boi at least 10 times
",1649838538,True,0,0,0,0
"A good rogue-like game that fun for casual player like myself. Even though the game has a repetitive system, it doesn't get boring and any other grinding game. Its a good game for sure",1649838173,True,0,0,0,0
PLAY IT,1649837290,True,0,0,0,0
"Medusa is the best, too cute.",1649834978,True,0,0,0,0
Perfection!,1649832237,True,0,0,0,0
theres something incredible about the way this game deals with progression. intermixing story into a rougelike is hardly new but it takes the framework and turns it into a beautiful greek tragedy with an art style that is just unparalleled.,1649832070,True,0,0,0,0
"I think I might be addicted to this game, but if you are actually thinking about buying it and aren't just looking for negative reviews to mock I actually do have some input.

The game itself is a lot more like FTL than it is like Gungeon (a game I have never played (so that could be wrong)) or binding of isaac (a game I have played) in that it is more skill based than luck based. You'll always be able to get decent items in this game, but because of that it makes the hard enemies way more punishing.

I like this game, it is a good game.",1649830842,True,0,0,0,0
I literally cannot complain about a single thing in this game.,1649829866,True,0,0,0,0
"If you're not bi going into this game you sure as hell will be coming out of it
",1649825999,True,0,1,0,0
very fun game. Makes me want to kill myself sometimes but still fun.,1649825626,True,0,1,0,0
I've never had so much fun dying,1649824647,True,0,1,0,0
"Cerberus Best Boy
Charon Best Mate
Demeter Best Boons 
Thanatos Best Body
Hades Best Game 10/10",1649823894,True,0,0,0,0
megar... 😖 megaraaa... 🥺💘,1649819477,True,1,0,0.523809552192687988,0
goog game,1649818204,True,0,0,0,0
"Very good game,however I was misled by the name of the game. I thought that I would get to play as Hades since the name of the game is Hades but I have been deceived. Turns out you only get to play as the son of Hades (lame!) or so I thought. However, it turns out Zagreus, Hades' son FUCKS. You see, unlike Hades - who is a blue pilled bureaucrat - Zagreus is actually a red-pilled Sigma male that bought BTC when it was worth 5$ and is now so loaded he can get bitches in the underworld. Also, the gameplay is kinda fun, I guess. 9 out of 10, really made me feel like neo from the Devil May Cry Series",1649816364,True,0,1,0,0
8.77/10,1649814238,True,0,0,0,0
amazon gam,1649813300,True,0,0,0,0
SUCH A GOOD GAME!!!!!!!!!!!!!!!!!,1649811629,True,0,0,0,0
Oh sorry it's the best game,1649811237,True,0,0,0,0
good unless ur bad,1649810258,True,0,0,0,0
The game is great.,1649805878,True,0,0,0,0
YES yes,1649793457,True,1,0,0.523809552192687988,0
Masterpiece of a game,1649792989,True,0,0,0,0
too good,1649789454,True,0,0,0,0
"would love to make a game like this myself, enjoying the art, gameplay, music, voice acting and gameloop and flow very much",1649787761,True,0,0,0,0
"a run of hades is like sex, 
when its good
its really good
when its bad
its still pretty good",1649786504,True,0,0,0,0
"just can't stop playing. each time my brain wanted to stop, my other sense won't let it.",1649786275,True,0,0,0,0
"This game was given as a gift, and I was skeptical at first but was absolutely blown away. 10/10 would reccommend",1649785857,True,0,0,0,0
pet dog :),1649784375,True,0,0,0,0
